Code,Municipio,Depto,Censo electoral ,Participación/Total votación ,Abstención,Ganador,Votos Válidos,Iván Duque,Gustavo Petro,Sergio Fajardo,Germán Vargas Lleras,Humberto De La Calle,Jorge Antonio Trujillo ,Viviane Morales,Promotores Voto en Blanco,Voto en Blanco ,Total voto en Blanco,Nulos ,Tarjetones No Marcados,Votos inválidos,%Participación electoral ,%Abstención,%Votos Válidos,%Iván Duque,%Gustavo Petro,%Sergio Fajardo,%Germán Vargas Lleras,%Humberto De La Calle,%Jorge Antonio Trujillo ,%Viviane Morales,%Promotores Voto en Blanco,%Voto en Blanco ,%Total Voto en Blanco,%Nulos ,%Tarjetones No Marcados,%Votos inválidos
5001,Medellín,Antioquia,"1,588,150","1,009,878","578,272", Iván Duque ,998455.00,535239.00,77067.00,310430.00,24133.00,25896.00,2197.00,1296.00,1847.00,20350.00,22197.00,10004.00,1419.00,11423.00,0.6359,0.3641,0.9887,0.5361,0.0772,0.3109,0.0242,0.0259,0.0022,0.0013,0.0018,0.0204,0.0222,0.0099,0.0014,0.0113
5002,Abejorral,Antioquia,"14,967","6,582","8,385", Iván Duque ,6408.00,4580.00,184.00,1097.00,347.00,73.00,15.00,24.00,11.00,77.00,88.00,89.00,85.00,174.00,0.4398,0.5602,0.9736,0.7147,0.0287,0.1712,0.0542,0.0114,0.0023,0.0037,0.0017,0.012,0.0137,0.0135,0.0129,0.0264
5004,Abriaquí,Antioquia,"1,913",994,919, Iván Duque ,985.00,828.00,11.00,89.00,27.00,15.00,2.00,2.00,1.00,10.00,11.00,3.00,6.00,9.00,0.5196,0.4804,0.9909,0.8406,0.0112,0.0904,0.0274,0.0152,0.002,0.002,0.001,0.0102,0.0112,0.003,0.006,0.0091
5021,Alejandría,Antioquia,"4,549","2,203","2,346", Iván Duque ,2174.00,1513.00,72.00,312.00,126.00,94.00,1.00,8.00,3.00,45.00,48.00,17.00,12.00,29.00,0.4843,0.5157,0.9868,0.696,0.0331,0.1435,0.058,0.0432,0.0005,0.0037,0.0014,0.0207,0.0221,0.0077,0.0054,0.0132
5030,Amagá,Antioquia,"22,350","10,460","11,890", Iván Duque ,10267.00,5470.00,598.00,3298.00,450.00,177.00,15.00,13.00,21.00,225.00,246.00,153.00,40.00,193.00,0.468,0.532,0.9815,0.5328,0.0582,0.3212,0.0438,0.0172,0.0015,0.0013,0.002,0.0219,0.024,0.0146,0.0038,0.0185
5031,Amalfi,Antioquia,"17,182","6,049","11,133", Iván Duque ,5901.00,3354.00,261.00,1639.00,307.00,99.00,34.00,11.00,18.00,178.00,196.00,86.00,62.00,148.00,0.3521,0.6479,0.9755,0.5684,0.0442,0.2777,0.052,0.0168,0.0058,0.0019,0.0031,0.0302,0.0332,0.0142,0.0102,0.0245
5034,Andes,Antioquia,"34,753","15,404","19,349", Iván Duque ,15170.00,9743.00,713.00,2748.00,1564.00,129.00,19.00,38.00,17.00,199.00,216.00,174.00,60.00,234.00,0.4432,0.5568,0.9848,0.6423,0.047,0.1811,0.1031,0.0085,0.0013,0.0025,0.0011,0.0131,0.0142,0.0113,0.0039,0.0152
5036,Angelópolis,Antioquia,"5,812","2,564","3,248", Iván Duque ,2509.00,1717.00,87.00,485.00,88.00,67.00,6.00,8.00,9.00,42.00,51.00,34.00,21.00,55.00,0.4412,0.5588,0.9785,0.6843,0.0347,0.1933,0.0351,0.0267,0.0024,0.0032,0.0036,0.0167,0.0203,0.0133,0.0082,0.0215
5038,Angostura,Antioquia,"9,079","2,966","6,113", Iván Duque ,2803.00,1841.00,117.00,634.00,68.00,47.00,13.00,5.00,8.00,70.00,78.00,94.00,69.00,163.00,0.3267,0.6733,0.945,0.6568,0.0417,0.2262,0.0243,0.0168,0.0046,0.0018,0.0029,0.025,0.0278,0.0317,0.0233,0.055
5040,Anorí,Antioquia,"11,628","3,092","8,536", Iván Duque ,3022.00,1394.00,432.00,805.00,101.00,134.00,25.00,9.00,13.00,109.00,122.00,38.00,32.00,70.00,0.2659,0.7341,0.9774,0.4613,0.143,0.2664,0.0334,0.0443,0.0083,0.003,0.0043,0.0361,0.0404,0.0123,0.0103,0.0226
