Code,Depto,Municipio,Censo Electoral,Participación/Total votación,Abstención,Ganador Circunscripción Nacional,Votos Válidos (Nacional),Alianza Verde,Cambio Radical,Centro Democrático,Partido Conservador,FARC,Partido Liberal,Opción Ciudadana,MIRA,Polo Democrático Alternativo,Partido de la U,Somos,Todos Somos Colombia,Coalición Lista de la Decencia (ASI-UP-MAIS),GSC Colombia Justa Libres,GSC Si se puede,GSC Unión con Fortaleza,Voto en Blanco (Nacional),Vótos Válidos (todas las circunscripciones),Votos Inválidos,Votos Nulos,Tarjetones no Marcados,%Participación,%Abstención,%Votos Válidos (Nacional),%Alianza Verde,%Cambio Radical,%Centro Democrático,%Partido Conservador,%FARC,%Partido Liberal,%Opción Ciudadana,%MIRA,%Polo Democrático Alternativo,%Partido de la U,%Somos,%Todos Somos Colombia,%Coalición Lista de la Decencia (ASI-UP-MAIS),%GSC Colombia Justa Libres,%GSC Si se puede,%GSC Unión con Fortaleza,%Voto en Blanco (Nacional),%Vótos Válidos (todas las circunscripciones),%Votos Inválidos,%Votos Nulos,%Tarjetones no Marcados
5001,Antioquia,Medellín,1558619,766128,792491,Centro Democrático,663647,61158,31411,283483,57989,1881,53059,4747,15982,45947,29711,6970,3417,11947,10977,1216,670,43082,684293,81835,53284,28551,0.4915,0.5085,0.8662,0.0922,0.0473,0.4272,0.0874,0.0028,0.0800,0.0072,0.0241,0.0692,0.0448,0.0105,0.0051,0.0180,0.0165,0.0018,0.0010,0.0649,0.8932,0.1068,0.0695,0.0373
5002,Antioquia,Abejorral,15345,4348,10997,Centro Democrático,3624,174,105,1035,948,3,803,68,43,103,172,13,31,15,21,1,2,87,3677,671,246,425,0.2833,0.7167,0.8335,0.0480,0.0290,0.2856,0.2616,0.0008,0.2216,0.0188,0.0119,0.0284,0.0475,0.0036,0.0086,0.0041,0.0058,0.0003,0.0006,0.0240,0.8457,0.1543,0.0566,0.0977
5004,Antioquia,Abriaquí,1994,1036,958,Partido Conservador,906,5,18,175,534,0,19,1,1,5,133,2,1,0,3,1,2,6,907,129,104,25,0.5196,0.4804,0.8745,0.0055,0.0199,0.1932,0.5894,0.0000,0.0210,0.0011,0.0011,0.0055,0.1468,0.0022,0.0011,0.0000,0.0033,0.0011,0.0022,0.0066,0.8755,0.1245,0.1004,0.0241
5021,Antioquia,Alejandría,4669,2156,2513,Partido Conservador,1841,38,99,237,1262,1,73,7,2,19,26,12,3,6,0,3,0,53,1848,308,97,211,0.4618,0.5382,0.8539,0.0206,0.0538,0.1287,0.6855,0.0005,0.0397,0.0038,0.0011,0.0103,0.0141,0.0065,0.0016,0.0033,0.0000,0.0016,0.0000,0.0288,0.8571,0.1429,0.0450,0.0979
5030,Antioquia,Amagá,22270,7964,14306,Centro Democrático,6542,245,425,2481,952,8,936,36,100,324,571,7,13,54,29,3,9,349,6767,1197,615,582,0.3576,0.6424,0.8214,0.0375,0.0650,0.3792,0.1455,0.0012,0.1431,0.0055,0.0153,0.0495,0.0873,0.0011,0.0020,0.0083,0.0044,0.0005,0.0014,0.0533,0.8497,0.1503,0.0772,0.0731
5031,Antioquia,Amalfi,17296,4934,12362,Cambio Radical,3917,132,1272,610,252,5,527,20,173,168,459,44,18,17,38,1,3,178,4023,911,342,569,0.2853,0.7147,0.7939,0.0337,0.3247,0.1557,0.0643,0.0013,0.1345,0.0051,0.0442,0.0429,0.1172,0.0112,0.0046,0.0043,0.0097,0.0003,0.0008,0.0454,0.8154,0.1846,0.0693,0.1153
5034,Antioquia,Andes,35381,15110,20271,Partido de la U,13094,312,175,1432,2762,18,328,80,49,306,7145,22,16,57,39,7,6,340,13217,1893,829,1064,0.4271,0.5729,0.8666,0.0238,0.0134,0.1094,0.2109,0.0014,0.0250,0.0061,0.0037,0.0234,0.5457,0.0017,0.0012,0.0044,0.0030,0.0005,0.0005,0.0260,0.8747,0.1253,0.0549,0.0704
5036,Antioquia,Angelópolis,5865,2723,3142,Partido Conservador,2346,47,237,307,892,2,683,20,18,34,31,0,2,7,6,0,4,56,2376,347,132,215,0.4643,0.5357,0.8615,0.0200,0.1010,0.1309,0.3802,0.0009,0.2911,0.0085,0.0077,0.0145,0.0132,0.0000,0.0009,0.0030,0.0026,0.0000,0.0017,0.0239,0.8726,0.1274,0.0485,0.0790
5038,Antioquia,Angostura,9299,2672,6627,Partido Conservador,2009,65,68,431,938,18,265,14,8,36,71,3,10,5,7,0,0,70,2049,623,224,399,0.2873,0.7127,0.7519,0.0324,0.0338,0.2145,0.4669,0.0090,0.1319,0.0070,0.0040,0.0179,0.0353,0.0015,0.0050,0.0025,0.0035,0.0000,0.0000,0.0348,0.7668,0.2332,0.0838,0.1493
5040,Antioquia,Anorí,11599,2950,8649,Partido Liberal,2435,85,184,198,132,108,1527,6,13,47,20,8,3,5,20,2,1,76,2471,479,141,338,0.2543,0.7457,0.8254,0.0349,0.0756,0.0813,0.0542,0.0444,0.6271,0.0025,0.0053,0.0193,0.0082,0.0033,0.0012,0.0021,0.0082,0.0008,0.0004,0.0312,0.8376,0.1624,0.0478,0.1146
5042,Antioquia,Santafé de Antioquia,20291,7247,13044,Centro Democrático,5949,192,250,1816,468,7,1587,124,103,304,646,14,31,63,49,3,4,288,6103,1144,482,662,0.3572,0.6428,0.8209,0.0323,0.0420,0.3053,0.0787,0.0012,0.2668,0.0208,0.0173,0.0511,0.1086,0.0024,0.0052,0.0106,0.0082,0.0005,0.0007,0.0484,0.8421,0.1579,0.0665,0.0913
5044,Antioquia,Anzá,5823,1911,3912,Partido Liberal,1461,34,31,361,268,4,605,2,87,15,7,5,4,9,1,0,1,27,1477,434,114,320,0.3282,0.6718,0.7645,0.0233,0.0212,0.2471,0.1834,0.0027,0.4141,0.0014,0.0595,0.0103,0.0048,0.0034,0.0027,0.0062,0.0007,0.0000,0.0007,0.0185,0.7729,0.2271,0.0597,0.1675
5045,Antioquia,Apartadó,92258,34554,57704,Centro Democrático,27839,1592,3576,5153,2074,83,3376,708,1539,1351,4421,59,94,907,899,39,215,1753,29323,5231,2614,2617,0.3745,0.6255,0.8057,0.0572,0.1285,0.1851,0.0745,0.0030,0.1213,0.0254,0.0553,0.0485,0.1588,0.0021,0.0034,0.0326,0.0323,0.0014,0.0077,0.0630,0.8486,0.1514,0.0756,0.0757
5051,Antioquia,Arboletes,22490,11444,11046,Partido de la U,9654,174,994,438,1342,7,824,2162,19,72,3363,5,15,47,75,15,13,89,9839,1605,624,981,0.5088,0.4912,0.8436,0.0180,0.1030,0.0454,0.1390,0.0007,0.0854,0.2239,0.0020,0.0075,0.3484,0.0005,0.0016,0.0049,0.0078,0.0016,0.0013,0.0092,0.8598,0.1402,0.0545,0.0857
