"","CODE_REGIS","Presi","VOTOS"
"1",1001,"Fajardo",103659
"2",1001,"Fico",443195
"3",1001,"Petro",174417
"4",1004,"Fajardo",373
"5",1004,"Fico",1863
"6",1004,"Petro",336
"7",1007,"Fajardo",41
"8",1007,"Fico",382
"9",1007,"Petro",138
"10",1010,"Fajardo",117
"11",1010,"Fico",876
"12",1010,"Petro",135
"13",1013,"Fajardo",718
"14",1013,"Fico",2538
"15",1013,"Petro",1167
"16",1016,"Fajardo",484
"17",1016,"Fico",1116
"18",1016,"Petro",455
"19",1019,"Fajardo",1286
"20",1019,"Fico",4186
"21",1019,"Petro",1239
"22",1022,"Fajardo",142
"23",1022,"Fico",531
"24",1022,"Petro",207
"25",1025,"Fajardo",156
"26",1025,"Fico",391
"27",1025,"Petro",122
"28",1028,"Fajardo",139
"29",1028,"Fico",469
"30",1028,"Petro",341
"31",1031,"Fajardo",621
"32",1031,"Fico",2063
"33",1031,"Petro",1088
"34",1034,"Fajardo",205
"35",1034,"Fico",396
"36",1034,"Petro",91
"37",1035,"Fajardo",2499
"38",1035,"Fico",7967
"39",1035,"Petro",12699
"40",1037,"Fajardo",484
"41",1037,"Fico",1020
"42",1037,"Petro",2029
"43",1039,"Fajardo",131
"44",1039,"Fico",516
"45",1039,"Petro",110
"46",1040,"Fajardo",102
"47",1040,"Fico",568
"48",1040,"Petro",110
"49",1043,"Fajardo",1481
"50",1043,"Fico",4999
"51",1043,"Petro",2873
"52",1046,"Fajardo",178
"53",1046,"Fico",743
"54",1046,"Petro",103
"55",1049,"Fajardo",16259
"56",1049,"Fico",67851
"57",1049,"Petro",32386
"58",1052,"Fajardo",229
"59",1052,"Fico",939
"60",1052,"Petro",144
"61",1055,"Fajardo",219
"62",1055,"Fico",1017
"63",1055,"Petro",158
"64",1058,"Fajardo",667
"65",1058,"Fico",3976
"66",1058,"Petro",666
"67",1061,"Fajardo",168
"68",1061,"Fico",437
"69",1061,"Petro",268
"70",1062,"Fajardo",150
"71",1062,"Fico",400
"72",1062,"Petro",286
"73",1064,"Fajardo",329
"74",1064,"Fico",563
"75",1064,"Petro",1276
"76",1067,"Fajardo",147
"77",1067,"Fico",355
"78",1067,"Petro",193
"79",1070,"Fajardo",3900
"80",1070,"Fico",12571
"81",1070,"Petro",5958
"82",1073,"Fajardo",122
"83",1073,"Fico",299
"84",1073,"Petro",102
"85",1076,"Fajardo",307
"86",1076,"Fico",1474
"87",1076,"Petro",336
"88",1078,"Fajardo",73
"89",1078,"Fico",411
"90",1078,"Petro",189
"91",1079,"Fajardo",412
"92",1079,"Fico",459
"93",1079,"Petro",140
"94",1080,"Fajardo",1246
"95",1080,"Fico",2963
"96",1080,"Petro",5033
"97",1082,"Fajardo",2683
"98",1082,"Fico",8222
"99",1082,"Petro",3862
"100",1085,"Fajardo",140
"101",1085,"Fico",744
"102",1085,"Petro",252
"103",1088,"Fajardo",2530
"104",1088,"Fico",4186
"105",1088,"Petro",7559
"106",1091,"Fajardo",282
"107",1091,"Fico",1228
"108",1091,"Petro",488
"109",1094,"Fajardo",288
