"","Code_REGIS","Nom_Partido","CodPartido","Votos"
"1",1001,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,106442
"2",1001,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,25481
"3",1001,"ESTAMOS LISTAS COLOMBIA",1130,21036
"4",1001,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,36690
"5",1001,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,2996
"6",1001,"MOVIMIENTO GENTE NUEVA",1186,1176
"7",1001,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,2637
"8",1001,"MOVIMIENTO UNITARIO METAPOLITICO",1039,1195
"9",1001,"PACTO HISTÓRICO",292,82757
"10",1001,"PARTIDO CAMBIO RADICAL",3,24960
"11",1001,"PARTIDO CENTRO DEMOCRÁTICO",11,213747
"12",1001,"PARTIDO COMUNES",13,1349
"13",1001,"PARTIDO CONSERVADOR COLOMBIANO",2,92433
"14",1001,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,22993
"15",1001,"PARTIDO LIBERAL COLOMBIANO",1,60472
"16",1001,"PARTIDO NUEVO LIBERALISMO",19,14871
"17",1001,"TARJETONES NO MARCADOS",998,21070
"18",1001,"VOTO EN BLANCO",996,71730
"19",1001,"VOTOS NULOS",997,26917
"20",1004,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,526
"21",1004,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,97
"22",1004,"ESTAMOS LISTAS COLOMBIA",1130,27
"23",1004,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,75
"24",1004,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,5
"25",1004,"MOVIMIENTO GENTE NUEVA",1186,2
"26",1004,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,1
"27",1004,"MOVIMIENTO UNITARIO METAPOLITICO",1039,7
"28",1004,"PACTO HISTÓRICO",292,132
"29",1004,"PARTIDO CAMBIO RADICAL",3,86
"30",1004,"PARTIDO CENTRO DEMOCRÁTICO",11,1367
"31",1004,"PARTIDO COMUNES",13,96
"32",1004,"PARTIDO CONSERVADOR COLOMBIANO",2,1130
"33",1004,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,134
"34",1004,"PARTIDO LIBERAL COLOMBIANO",1,659
"35",1004,"PARTIDO NUEVO LIBERALISMO",19,16
"36",1004,"TARJETONES NO MARCADOS",998,308
"37",1004,"VOTO EN BLANCO",996,223
"38",1004,"VOTOS NULOS",997,224
"39",1007,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,22
"40",1007,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,4
"41",1007,"ESTAMOS LISTAS COLOMBIA",1130,0
"42",1007,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,5
"43",1007,"MOVIMIENTO DE SALVACIÓN NACIONAL",302,0
"44",1007,"MOVIMIENTO GENTE NUEVA",1186,0
"45",1007,"MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA",1073,0
"46",1007,"MOVIMIENTO UNITARIO METAPOLITICO",1039,0
"47",1007,"PACTO HISTÓRICO",292,11
"48",1007,"PARTIDO CAMBIO RADICAL",3,6
"49",1007,"PARTIDO CENTRO DEMOCRÁTICO",11,35
"50",1007,"PARTIDO COMUNES",13,0
"51",1007,"PARTIDO CONSERVADOR COLOMBIANO",2,642
"52",1007,"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""",8,6
"53",1007,"PARTIDO LIBERAL COLOMBIANO",1,91
"54",1007,"PARTIDO NUEVO LIBERALISMO",19,0
"55",1007,"TARJETONES NO MARCADOS",998,26
"56",1007,"VOTO EN BLANCO",996,13
"57",1007,"VOTOS NULOS",997,15
"58",1010,"COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA",255,212
"59",1010,"COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES",231,35
"60",1010,"ESTAMOS LISTAS COLOMBIA",1130,11
"61",1010,"FUERZA CIUDADANA LA FUERZA DEL CAMBIO",1140,28
