"","date","hits","keyword"
"1",2022-02-27,7,"/m/03c3tmt"
"2",2022-02-28,8,"/m/03c3tmt"
"3",2022-03-01,6,"/m/03c3tmt"
"4",2022-03-02,7,"/m/03c3tmt"
"5",2022-03-03,6,"/m/03c3tmt"
"6",2022-03-04,13,"/m/03c3tmt"
"7",2022-03-05,12,"/m/03c3tmt"
"8",2022-03-06,13,"/m/03c3tmt"
"9",2022-03-07,13,"/m/03c3tmt"
"10",2022-03-08,11,"/m/03c3tmt"
"11",2022-03-09,14,"/m/03c3tmt"
"12",2022-03-10,18,"/m/03c3tmt"
"13",2022-03-11,20,"/m/03c3tmt"
"14",2022-03-12,31,"/m/03c3tmt"
"15",2022-03-13,89,"/m/03c3tmt"
"16",2022-03-14,100,"/m/03c3tmt"
"17",2022-03-15,55,"/m/03c3tmt"
"18",2022-03-16,46,"/m/03c3tmt"
"19",2022-03-17,37,"/m/03c3tmt"
"20",2022-03-18,35,"/m/03c3tmt"
"21",2022-03-19,31,"/m/03c3tmt"
"22",2022-03-20,30,"/m/03c3tmt"
"23",2022-03-21,26,"/m/03c3tmt"
"24",2022-03-22,30,"/m/03c3tmt"
"25",2022-03-23,33,"/m/03c3tmt"
"26",2022-03-24,21,"/m/03c3tmt"
"27",2022-03-25,17,"/m/03c3tmt"
"28",2022-03-26,18,"/m/03c3tmt"
"29",2022-03-27,19,"/m/03c3tmt"
"30",2022-03-28,15,"/m/03c3tmt"
"31",2022-03-29,19,"/m/03c3tmt"
"32",2022-03-30,15,"/m/03c3tmt"
"33",2022-03-31,13,"/m/03c3tmt"
"34",2022-04-01,14,"/m/03c3tmt"
"35",2022-04-02,14,"/m/03c3tmt"
"36",2022-04-03,15,"/m/03c3tmt"
"37",2022-04-04,12,"/m/03c3tmt"
"38",2022-04-05,14,"/m/03c3tmt"
"39",2022-04-06,15,"/m/03c3tmt"
"40",2022-04-07,15,"/m/03c3tmt"
"41",2022-04-08,14,"/m/03c3tmt"
"42",2022-04-09,14,"/m/03c3tmt"
"43",2022-04-10,13,"/m/03c3tmt"
"44",2022-04-11,14,"/m/03c3tmt"
"45",2022-04-12,9,"/m/03c3tmt"
"46",2022-04-13,17,"/m/03c3tmt"
"47",2022-04-14,23,"/m/03c3tmt"
"48",2022-04-15,26,"/m/03c3tmt"
"49",2022-04-16,18,"/m/03c3tmt"
"50",2022-04-17,22,"/m/03c3tmt"
"51",2022-04-18,25,"/m/03c3tmt"
"52",2022-04-19,21,"/m/03c3tmt"
"53",2022-04-20,16,"/m/03c3tmt"
"54",2022-04-21,15,"/m/03c3tmt"
"55",2022-04-22,16,"/m/03c3tmt"
"56",2022-04-23,16,"/m/03c3tmt"
"57",2022-04-24,18,"/m/03c3tmt"
"58",2022-04-25,14,"/m/03c3tmt"
"59",2022-04-26,13,"/m/03c3tmt"
"60",2022-04-27,17,"/m/03c3tmt"
"61",2022-04-28,20,"/m/03c3tmt"
"62",2022-04-29,21,"/m/03c3tmt"
"63",2022-04-30,16,"/m/03c3tmt"
"64",2022-05-01,16,"/m/03c3tmt"
"65",2022-05-02,15,"/m/03c3tmt"
"66",2022-05-03,19,"/m/03c3tmt"
"67",2022-05-04,14,"/m/03c3tmt"
"68",2022-05-05,13,"/m/03c3tmt"
"69",2022-05-06,17,"/m/03c3tmt"
"70",2022-05-07,14,"/m/03c3tmt"
"71",2022-05-08,17,"/m/03c3tmt"
"72",2022-05-09,15,"/m/03c3tmt"
"73",2022-05-10,13,"/m/03c3tmt"
"74",2022-05-11,21,"/m/03c3tmt"
"75",2022-05-12,16,"/m/03c3tmt"
"76",2022-05-13,14,"/m/03c3tmt"
"77",2022-05-14,17,"/m/03c3tmt"
"78",2022-05-15,21,"/m/03c3tmt"
"79",2022-05-16,15,"/m/03c3tmt"
"80",2022-05-17,18,"/m/03c3tmt"
"81",2022-05-18,21,"/m/03c3tmt"
"82",2022-05-19,24,"/m/03c3tmt"
"83",2022-05-20,23,"/m/03c3tmt"
"84",2022-05-21,28,"/m/03c3tmt"
"85",2022-05-22,35,"/m/03c3tmt"
"86",2022-05-23,32,"/m/03c3tmt"
"87",2022-05-24,37,"/m/03c3tmt"
"88",2022-05-25,0,"/m/03c3tmt"
"89",2022-02-27,1,"/g/11b7gphb96"
"90",2022-02-28,1,"/g/11b7gphb96"
"91",2022-03-01,1,"/g/11b7gphb96"
"92",2022-03-02,1,"/g/11b7gphb96"
"93",2022-03-03,1,"/g/11b7gphb96"
"94",2022-03-04,2,"/g/11b7gphb96"
"95",2022-03-05,2,"/g/11b7gphb96"
"96",2022-03-06,3,"/g/11b7gphb96"
"97",2022-03-07,3,"/g/11b7gphb96"
"98",2022-03-08,3,"/g/11b7gphb96"
"99",2022-03-09,4,"/g/11b7gphb96"
"100",2022-03-10,4,"/g/11b7gphb96"
"101",2022-03-11,7,"/g/11b7gphb96"
"102",2022-03-12,11,"/g/11b7gphb96"
"103",2022-03-13,44,"/g/11b7gphb96"
"104",2022-03-14,35,"/g/11b7gphb96"
"105",2022-03-15,13,"/g/11b7gphb96"
"106",2022-03-16,8,"/g/11b7gphb96"
"107",2022-03-17,6,"/g/11b7gphb96"
"108",2022-03-18,5,"/g/11b7gphb96"
"109",2022-03-19,6,"/g/11b7gphb96"
"110",2022-03-20,6,"/g/11b7gphb96"
"111",2022-03-21,4,"/g/11b7gphb96"
