"","date","hits","keyword"
"1",2022-02-27,3,"Petro 2022"
"2",2022-02-28,4,"Petro 2022"
"3",2022-03-01,1,"Petro 2022"
"4",2022-03-02,5,"Petro 2022"
"5",2022-03-03,6,"Petro 2022"
"6",2022-03-04,6,"Petro 2022"
"7",2022-03-05,8,"Petro 2022"
"8",2022-03-06,7,"Petro 2022"
"9",2022-03-07,8,"Petro 2022"
"10",2022-03-08,6,"Petro 2022"
"11",2022-03-09,9,"Petro 2022"
"12",2022-03-10,12,"Petro 2022"
"13",2022-03-11,16,"Petro 2022"
"14",2022-03-12,21,"Petro 2022"
"15",2022-03-13,98,"Petro 2022"
"16",2022-03-14,100,"Petro 2022"
"17",2022-03-15,34,"Petro 2022"
"18",2022-03-16,26,"Petro 2022"
"19",2022-03-17,19,"Petro 2022"
"20",2022-03-18,18,"Petro 2022"
"21",2022-03-19,15,"Petro 2022"
"22",2022-03-20,16,"Petro 2022"
"23",2022-03-21,14,"Petro 2022"
"24",2022-03-22,17,"Petro 2022"
"25",2022-03-23,15,"Petro 2022"
"26",2022-03-24,11,"Petro 2022"
"27",2022-03-25,11,"Petro 2022"
"28",2022-03-26,9,"Petro 2022"
"29",2022-03-27,7,"Petro 2022"
"30",2022-03-28,5,"Petro 2022"
"31",2022-03-29,10,"Petro 2022"
"32",2022-03-30,5,"Petro 2022"
"33",2022-03-31,6,"Petro 2022"
"34",2022-04-01,5,"Petro 2022"
"35",2022-04-02,4,"Petro 2022"
"36",2022-04-03,7,"Petro 2022"
"37",2022-04-04,9,"Petro 2022"
"38",2022-04-05,7,"Petro 2022"
"39",2022-04-06,7,"Petro 2022"
"40",2022-04-07,8,"Petro 2022"
"41",2022-04-08,6,"Petro 2022"
"42",2022-04-09,7,"Petro 2022"
"43",2022-04-10,7,"Petro 2022"
"44",2022-04-11,3,"Petro 2022"
"45",2022-04-12,5,"Petro 2022"
"46",2022-04-13,7,"Petro 2022"
"47",2022-04-14,5,"Petro 2022"
"48",2022-04-15,7,"Petro 2022"
"49",2022-04-16,6,"Petro 2022"
"50",2022-04-17,6,"Petro 2022"
"51",2022-04-18,9,"Petro 2022"
"52",2022-04-19,8,"Petro 2022"
"53",2022-04-20,8,"Petro 2022"
"54",2022-04-21,6,"Petro 2022"
"55",2022-04-22,5,"Petro 2022"
"56",2022-04-23,6,"Petro 2022"
"57",2022-04-24,5,"Petro 2022"
"58",2022-04-25,7,"Petro 2022"
"59",2022-04-26,5,"Petro 2022"
"60",2022-04-27,9,"Petro 2022"
"61",2022-04-28,11,"Petro 2022"
"62",2022-04-29,10,"Petro 2022"
"63",2022-04-30,4,"Petro 2022"
"64",2022-05-01,4,"Petro 2022"
"65",2022-05-02,10,"Petro 2022"
"66",2022-05-03,8,"Petro 2022"
"67",2022-05-04,7,"Petro 2022"
"68",2022-05-05,9,"Petro 2022"
"69",2022-05-06,8,"Petro 2022"
"70",2022-05-07,7,"Petro 2022"
"71",2022-05-08,5,"Petro 2022"
"72",2022-05-09,8,"Petro 2022"
"73",2022-05-10,4,"Petro 2022"
"74",2022-05-11,11,"Petro 2022"
"75",2022-05-12,7,"Petro 2022"
"76",2022-05-13,7,"Petro 2022"
"77",2022-05-14,7,"Petro 2022"
"78",2022-05-15,10,"Petro 2022"
"79",2022-05-16,9,"Petro 2022"
"80",2022-05-17,12,"Petro 2022"
"81",2022-05-18,14,"Petro 2022"
"82",2022-05-19,14,"Petro 2022"
"83",2022-05-20,8,"Petro 2022"
"84",2022-05-21,14,"Petro 2022"
"85",2022-05-22,12,"Petro 2022"
"86",2022-05-23,13,"Petro 2022"
"87",2022-05-24,13,"Petro 2022"
"88",2022-05-25,0,"Petro 2022"
"89",2022-02-27,0,"Fico 2022"
"90",2022-02-28,0,"Fico 2022"
"91",2022-03-01,0,"Fico 2022"
"92",2022-03-02,0,"Fico 2022"
"93",2022-03-03,0,"Fico 2022"
"94",2022-03-04,0,"Fico 2022"
"95",2022-03-05,2,"Fico 2022"
"96",2022-03-06,0,"Fico 2022"
"97",2022-03-07,1,"Fico 2022"
"98",2022-03-08,1,"Fico 2022"
"99",2022-03-09,0,"Fico 2022"
"100",2022-03-10,2,"Fico 2022"
"101",2022-03-11,3,"Fico 2022"
"102",2022-03-12,6,"Fico 2022"
"103",2022-03-13,42,"Fico 2022"
"104",2022-03-14,25,"Fico 2022"
"105",2022-03-15,12,"Fico 2022"
"106",2022-03-16,7,"Fico 2022"
"107",2022-03-17,4,"Fico 2022"
"108",2022-03-18,4,"Fico 2022"
"109",2022-03-19,4,"Fico 2022"
"110",2022-03-20,3,"Fico 2022"
"111",2022-03-21,7,"Fico 2022"
"112",2022-03-22,5,"Fico 2022"
"113",2022-03-23,4,"Fico 2022"
"114",2022-03-24,5,"Fico 2022"
"115",2022-03-25,4,"Fico 2022"
"116",2022-03-26,5,"Fico 2022"
"117",2022-03-27,4,"Fico 2022"
"118",2022-03-28,3,"Fico 2022"
"119",2022-03-29,5,"Fico 2022"
"120",2022-03-30,4,"Fico 2022"
"121",2022-03-31,4,"Fico 2022"
"122",2022-04-01,2,"Fico 2022"
"123",2022-04-02,3,"Fico 2022"
"124",2022-04-03,2,"Fico 2022"
"125",2022-04-04,4,"Fico 2022"
"126",2022-04-05,2,"Fico 2022"
"127",2022-04-06,3,"Fico 2022"
"128",2022-04-07,5,"Fico 2022"
"129",2022-04-08,3,"Fico 2022"
"130",2022-04-09,2,"Fico 2022"
"131",2022-04-10,0,"Fico 2022"
"132",2022-04-11,1,"Fico 2022"
"133",2022-04-12,3,"Fico 2022"
"134",2022-04-13,1,"Fico 2022"
"135",2022-04-14,0,"Fico 2022"
"136",2022-04-15,0,"Fico 2022"
"137",2022-04-16,2,"Fico 2022"
"138",2022-04-17,2,"Fico 2022"
"139",2022-04-18,1,"Fico 2022"
"140",2022-04-19,4,"Fico 2022"
"141",2022-04-20,4,"Fico 2022"
"142",2022-04-21,2,"Fico 2022"
"143",2022-04-22,3,"Fico 2022"
"144",2022-04-23,2,"Fico 2022"
"145",2022-04-24,4,"Fico 2022"
"146",2022-04-25,4,"Fico 2022"
"147",2022-04-26,4,"Fico 2022"
"148",2022-04-27,3,"Fico 2022"
"149",2022-04-28,2,"Fico 2022"
"150",2022-04-29,2,"Fico 2022"
