"","date","hits","keyword"
"1",2022-02-21,5,"Petro Presidente"
"2",2022-02-22,2,"Petro Presidente"
"3",2022-02-23,5,"Petro Presidente"
"4",2022-02-24,5,"Petro Presidente"
"5",2022-02-25,2,"Petro Presidente"
"6",2022-02-26,7,"Petro Presidente"
"7",2022-02-27,4,"Petro Presidente"
"8",2022-02-28,3,"Petro Presidente"
"9",2022-03-01,2,"Petro Presidente"
"10",2022-03-02,4,"Petro Presidente"
"11",2022-03-03,3,"Petro Presidente"
"12",2022-03-04,6,"Petro Presidente"
"13",2022-03-05,13,"Petro Presidente"
"14",2022-03-06,4,"Petro Presidente"
"15",2022-03-07,13,"Petro Presidente"
"16",2022-03-08,8,"Petro Presidente"
"17",2022-03-09,10,"Petro Presidente"
"18",2022-03-10,11,"Petro Presidente"
"19",2022-03-11,18,"Petro Presidente"
"20",2022-03-12,14,"Petro Presidente"
"21",2022-03-13,61,"Petro Presidente"
"22",2022-03-14,54,"Petro Presidente"
"23",2022-03-15,32,"Petro Presidente"
"24",2022-03-16,21,"Petro Presidente"
"25",2022-03-17,11,"Petro Presidente"
"26",2022-03-18,3,"Petro Presidente"
"27",2022-03-19,11,"Petro Presidente"
"28",2022-03-20,12,"Petro Presidente"
"29",2022-03-21,10,"Petro Presidente"
"30",2022-03-22,10,"Petro Presidente"
"31",2022-03-23,13,"Petro Presidente"
"32",2022-03-24,10,"Petro Presidente"
"33",2022-03-25,7,"Petro Presidente"
"34",2022-03-26,9,"Petro Presidente"
"35",2022-03-27,7,"Petro Presidente"
"36",2022-03-28,8,"Petro Presidente"
"37",2022-03-29,5,"Petro Presidente"
"38",2022-03-30,4,"Petro Presidente"
"39",2022-03-31,3,"Petro Presidente"
"40",2022-04-01,6,"Petro Presidente"
"41",2022-04-02,5,"Petro Presidente"
"42",2022-04-03,8,"Petro Presidente"
"43",2022-04-04,3,"Petro Presidente"
"44",2022-04-05,5,"Petro Presidente"
"45",2022-04-06,9,"Petro Presidente"
"46",2022-04-07,10,"Petro Presidente"
"47",2022-04-08,7,"Petro Presidente"
"48",2022-04-09,5,"Petro Presidente"
"49",2022-04-10,7,"Petro Presidente"
"50",2022-04-11,2,"Petro Presidente"
"51",2022-04-12,1,"Petro Presidente"
"52",2022-04-13,5,"Petro Presidente"
"53",2022-04-14,7,"Petro Presidente"
"54",2022-04-15,8,"Petro Presidente"
"55",2022-04-16,4,"Petro Presidente"
"56",2022-04-17,8,"Petro Presidente"
"57",2022-04-18,4,"Petro Presidente"
"58",2022-04-19,8,"Petro Presidente"
"59",2022-04-20,3,"Petro Presidente"
"60",2022-04-21,4,"Petro Presidente"
"61",2022-04-22,7,"Petro Presidente"
"62",2022-04-23,6,"Petro Presidente"
"63",2022-04-24,7,"Petro Presidente"
"64",2022-04-25,8,"Petro Presidente"
"65",2022-04-26,9,"Petro Presidente"
"66",2022-04-27,5,"Petro Presidente"
"67",2022-04-28,12,"Petro Presidente"
"68",2022-04-29,10,"Petro Presidente"
"69",2022-04-30,5,"Petro Presidente"
"70",2022-05-01,4,"Petro Presidente"
"71",2022-05-02,8,"Petro Presidente"
"72",2022-05-03,9,"Petro Presidente"
"73",2022-05-04,5,"Petro Presidente"
"74",2022-05-05,9,"Petro Presidente"
"75",2022-05-06,7,"Petro Presidente"
"76",2022-05-07,10,"Petro Presidente"
"77",2022-05-08,8,"Petro Presidente"
"78",2022-05-09,7,"Petro Presidente"
"79",2022-05-10,12,"Petro Presidente"
"80",2022-05-11,13,"Petro Presidente"
"81",2022-05-12,10,"Petro Presidente"
"82",2022-05-13,12,"Petro Presidente"
"83",2022-05-14,7,"Petro Presidente"
"84",2022-05-15,13,"Petro Presidente"
"85",2022-05-16,3,"Petro Presidente"
"86",2022-05-17,13,"Petro Presidente"
"87",2022-05-18,21,"Petro Presidente"
"88",2022-05-19,0,"Petro Presidente"
"89",2022-02-21,1,"Fico Presidente"
"90",2022-02-22,0,"Fico Presidente"
"91",2022-02-23,0,"Fico Presidente"
"92",2022-02-24,1,"Fico Presidente"
"93",2022-02-25,0,"Fico Presidente"
"94",2022-02-26,1,"Fico Presidente"
"95",2022-02-27,0,"Fico Presidente"
"96",2022-02-28,0,"Fico Presidente"
"97",2022-03-01,0,"Fico Presidente"
