Fecha Inicio,Fecha Fin,Fecha,Encuestadora,Rating,Metodologia,Muestra,Petro,Rodolfo,Blanco,NS.NR,Error
3/14/22,3/19/22,3/16/22,Yanhaas,8,Presencial,1236,0.41,0.32,,0.27,0.032
3/28/22,3/31/22,3/29/22,CNC,10,Presencial,4206,0.426,0.344,0.045,0.19,0.015
4/4/22,4/7/22,4/5/22,CNC,10,Telefonica,1965,0.4,0.38,0.04,0.18,0.022
4/18/22,4/21/22,4/19/22,CNC,10,Mixta,4599,0.441,0.341,0.049,0.17,0.014
4/21/22,4/27/22,4/24/22,Invamer,9,Presencial,1243,0.56,0.406,0.034,,0.0255
4/25/22,4/29/22,4/27/22,Guarumo,7,Presencial,2132,0.445,0.371,0.086,0.10,0.025
4/30/22,5/7/22,5/3/22,Yanhaas,8,Presencial,1232,0.46,0.31,,0.23,0.032
5/13/22,5/18/22,5/15/22,Invamer,9,Presencial,1195,0.5,0.474,0.026,,0.0283
5/13/22,5/19/22,5/16/22,CNC,10,Mixta,3860,0.405,0.405,0.037,0.15,0.015
5/15/22,5/18/22,5/16/22,Mosqueteros,3,Presencial,6000,0.453,0.35,0.197,,0.0127
5/16/22,5/19/22,5/17/22,Guarumo,7,Presencial,2258,0.452,0.415,0.086,0.05,0.025
5/17/22,5/20/22,5/18/22,AtlasIntel,9,Telefonica,2781,0.398,0.482,,0.12,0.02
5/30/22,5/31/22,5/30/22,GAD3,3,Telefonica,1199,0.448,0.525,0.03,,0.029
5/30/22,5/31/22,5/30/22,CNC,10,Telefonica,1200,0.390,0.410,0.05,0.15,0.028
5/30/22,6/1/22,5/31/22,GAD3,3,Telefonica,1755,0.451,0.523,0.03,,0.024
5/30/22,6/2/22,5/31/22,GAD3,3,Telefonica,2308,0.456,0.504,0.04,,0.021
6/1/22,6/1/22,6/1/22,Massive Caller,3,Telefonica,1000,0.446,0.554,,,0.034
5/31/22,6/2/22,6/1/22,CNC,10,Presencial,2172,0.449,0.410,0.03,0.11,0.021
5/30/22,6/3/22,6/1/22,Yanhaas,8,Presencial,1234,0.420,0.410,0.13,0.04,0.032
5/30/22,6/3/22,6/1/22,GAD3,3,Telefonica,2840,0.463,0.479,0.06,,0.019
5/30/22,6/4/22,6/1/22,GAD3,3,Telefonica,3240,0.468,0.481,0.05,0.00,0.017
6/1/22,6/4/22,6/2/22,Guarumo,7,Presencial,1958,0.433,0.464,0.08,0.02,0.025
6/1/22,6/3/22,6/2/22,Datexco,4,Telefonica,700,0.420,0.460,,0.12,0.037
5/30/22,6/5/22,6/2/22,GAD3,3,Telefonica,3641,0.468,0.478,0.05,0.00,0.017
