"","date","hits","keyword"
"1",2022-03-17,5,"Petro Presidente"
"2",2022-03-18,2,"Petro Presidente"
"3",2022-03-19,7,"Petro Presidente"
"4",2022-03-20,6,"Petro Presidente"
"5",2022-03-21,6,"Petro Presidente"
"6",2022-03-22,4,"Petro Presidente"
"7",2022-03-23,7,"Petro Presidente"
"8",2022-03-24,5,"Petro Presidente"
"9",2022-03-25,4,"Petro Presidente"
"10",2022-03-26,5,"Petro Presidente"
"11",2022-03-27,4,"Petro Presidente"
"12",2022-03-28,5,"Petro Presidente"
"13",2022-03-29,2,"Petro Presidente"
"14",2022-03-30,3,"Petro Presidente"
"15",2022-03-31,2,"Petro Presidente"
"16",2022-04-01,4,"Petro Presidente"
"17",2022-04-02,3,"Petro Presidente"
"18",2022-04-03,3,"Petro Presidente"
"19",2022-04-04,1,"Petro Presidente"
"20",2022-04-05,2,"Petro Presidente"
"21",2022-04-06,5,"Petro Presidente"
"22",2022-04-07,5,"Petro Presidente"
"23",2022-04-08,4,"Petro Presidente"
"24",2022-04-09,4,"Petro Presidente"
"25",2022-04-10,4,"Petro Presidente"
"26",2022-04-11,2,"Petro Presidente"
"27",2022-04-12,1,"Petro Presidente"
"28",2022-04-13,4,"Petro Presidente"
"29",2022-04-14,4,"Petro Presidente"
"30",2022-04-15,6,"Petro Presidente"
"31",2022-04-16,3,"Petro Presidente"
"32",2022-04-17,4,"Petro Presidente"
"33",2022-04-18,3,"Petro Presidente"
"34",2022-04-19,4,"Petro Presidente"
"35",2022-04-20,1,"Petro Presidente"
"36",2022-04-21,3,"Petro Presidente"
"37",2022-04-22,5,"Petro Presidente"
"38",2022-04-23,5,"Petro Presidente"
"39",2022-04-24,5,"Petro Presidente"
"40",2022-04-25,5,"Petro Presidente"
"41",2022-04-26,5,"Petro Presidente"
"42",2022-04-27,3,"Petro Presidente"
"43",2022-04-28,7,"Petro Presidente"
"44",2022-04-29,6,"Petro Presidente"
"45",2022-04-30,4,"Petro Presidente"
"46",2022-05-01,2,"Petro Presidente"
"47",2022-05-02,5,"Petro Presidente"
"48",2022-05-03,5,"Petro Presidente"
"49",2022-05-04,3,"Petro Presidente"
"50",2022-05-05,6,"Petro Presidente"
"51",2022-05-06,5,"Petro Presidente"
"52",2022-05-07,6,"Petro Presidente"
"53",2022-05-08,6,"Petro Presidente"
"54",2022-05-09,4,"Petro Presidente"
"55",2022-05-10,7,"Petro Presidente"
"56",2022-05-11,7,"Petro Presidente"
"57",2022-05-12,5,"Petro Presidente"
"58",2022-05-13,6,"Petro Presidente"
"59",2022-05-14,4,"Petro Presidente"
"60",2022-05-15,7,"Petro Presidente"
"61",2022-05-16,2,"Petro Presidente"
"62",2022-05-17,8,"Petro Presidente"
"63",2022-05-18,13,"Petro Presidente"
"64",2022-05-19,4,"Petro Presidente"
"65",2022-05-20,6,"Petro Presidente"
"66",2022-05-21,6,"Petro Presidente"
"67",2022-05-22,6,"Petro Presidente"
"68",2022-05-23,9,"Petro Presidente"
"69",2022-05-24,15,"Petro Presidente"
"70",2022-05-25,14,"Petro Presidente"
"71",2022-05-26,11,"Petro Presidente"
"72",2022-05-27,14,"Petro Presidente"
"73",2022-05-28,18,"Petro Presidente"
"74",2022-05-29,100,"Petro Presidente"
"75",2022-05-30,54,"Petro Presidente"
"76",2022-05-31,24,"Petro Presidente"
"77",2022-06-01,27,"Petro Presidente"
"78",2022-06-02,13,"Petro Presidente"
"79",2022-06-03,16,"Petro Presidente"
"80",2022-06-04,16,"Petro Presidente"
"81",2022-06-05,22,"Petro Presidente"
"82",2022-06-06,6,"Petro Presidente"
"83",2022-06-07,12,"Petro Presidente"
"84",2022-06-08,11,"Petro Presidente"
"85",2022-06-09,10,"Petro Presidente"
"86",2022-06-10,9,"Petro Presidente"
"87",2022-06-11,11,"Petro Presidente"
"88",2022-06-12,17,"Petro Presidente"
"89",2022-06-13,14,"Petro Presidente"
"90",2022-06-14,12,"Petro Presidente"
"91",2022-06-15,0,"Petro Presidente"
"92",2022-03-17,1,"Rodolfo Presidente"
"93",2022-03-18,1,"Rodolfo Presidente"
"94",2022-03-19,0,"Rodolfo Presidente"
"95",2022-03-20,0,"Rodolfo Presidente"
"96",2022-03-21,2,"Rodolfo Presidente"
"97",2022-03-22,0,"Rodolfo Presidente"
"98",2022-03-23,1,"Rodolfo Presidente"
"99",2022-03-24,0,"Rodolfo Presidente"
"100",2022-03-25,1,"Rodolfo Presidente"
"101",2022-03-26,0,"Rodolfo Presidente"
"102",2022-03-27,2,"Rodolfo Presidente"
"103",2022-03-28,1,"Rodolfo Presidente"
"104",2022-03-29,1,"Rodolfo Presidente"
"105",2022-03-30,1,"Rodolfo Presidente"
"106",2022-03-31,1,"Rodolfo Presidente"
"107",2022-04-01,0,"Rodolfo Presidente"
"108",2022-04-02,1,"Rodolfo Presidente"
"109",2022-04-03,1,"Rodolfo Presidente"
"110",2022-04-04,0,"Rodolfo Presidente"
"111",2022-04-05,2,"Rodolfo Presidente"
"112",2022-04-06,1,"Rodolfo Presidente"
"113",2022-04-07,0,"Rodolfo Presidente"
"114",2022-04-08,0,"Rodolfo Presidente"
"115",2022-04-09,1,"Rodolfo Presidente"
"116",2022-04-10,0,"Rodolfo Presidente"
"117",2022-04-11,1,"Rodolfo Presidente"
"118",2022-04-12,1,"Rodolfo Presidente"
"119",2022-04-13,0,"Rodolfo Presidente"
"120",2022-04-14,2,"Rodolfo Presidente"
"121",2022-04-15,0,"Rodolfo Presidente"
"122",2022-04-16,0,"Rodolfo Presidente"
"123",2022-04-17,2,"Rodolfo Presidente"
"124",2022-04-18,1,"Rodolfo Presidente"
"125",2022-04-19,0,"Rodolfo Presidente"
"126",2022-04-20,1,"Rodolfo Presidente"
"127",2022-04-21,0,"Rodolfo Presidente"
"128",2022-04-22,0,"Rodolfo Presidente"
"129",2022-04-23,0,"Rodolfo Presidente"
"130",2022-04-24,2,"Rodolfo Presidente"
"131",2022-04-25,1,"Rodolfo Presidente"
"132",2022-04-26,1,"Rodolfo Presidente"
"133",2022-04-27,3,"Rodolfo Presidente"
"134",2022-04-28,1,"Rodolfo Presidente"
"135",2022-04-29,2,"Rodolfo Presidente"
"136",2022-04-30,1,"Rodolfo Presidente"
"137",2022-05-01,1,"Rodolfo Presidente"
"138",2022-05-02,1,"Rodolfo Presidente"
"139",2022-05-03,1,"Rodolfo Presidente"
"140",2022-05-04,0,"Rodolfo Presidente"
"141",2022-05-05,2,"Rodolfo Presidente"
"142",2022-05-06,2,"Rodolfo Presidente"
"143",2022-05-07,0,"Rodolfo Presidente"
"144",2022-05-08,1,"Rodolfo Presidente"
"145",2022-05-09,3,"Rodolfo Presidente"
"146",2022-05-10,2,"Rodolfo Presidente"
"147",2022-05-11,2,"Rodolfo Presidente"
"148",2022-05-12,1,"Rodolfo Presidente"
"149",2022-05-13,5,"Rodolfo Presidente"
"150",2022-05-14,4,"Rodolfo Presidente"
"151",2022-05-15,5,"Rodolfo Presidente"
"152",2022-05-16,3,"Rodolfo Presidente"
"153",2022-05-17,3,"Rodolfo Presidente"
"154",2022-05-18,4,"Rodolfo Presidente"
"155",2022-05-19,8,"Rodolfo Presidente"
"156",2022-05-20,14,"Rodolfo Presidente"
"157",2022-05-21,12,"Rodolfo Presidente"
"158",2022-05-22,10,"Rodolfo Presidente"
"159",2022-05-23,13,"Rodolfo Presidente"
"160",2022-05-24,9,"Rodolfo Presidente"
"161",2022-05-25,9,"Rodolfo Presidente"
"162",2022-05-26,7,"Rodolfo Presidente"
"163",2022-05-27,9,"Rodolfo Presidente"
"164",2022-05-28,14,"Rodolfo Presidente"
"165",2022-05-29,89,"Rodolfo Presidente"
"166",2022-05-30,77,"Rodolfo Presidente"
"167",2022-05-31,24,"Rodolfo Presidente"
"168",2022-06-01,15,"Rodolfo Presidente"
"169",2022-06-02,12,"Rodolfo Presidente"
"170",2022-06-03,11,"Rodolfo Presidente"
"171",2022-06-04,11,"Rodolfo Presidente"
"172",2022-06-05,13,"Rodolfo Presidente"
"173",2022-06-06,8,"Rodolfo Presidente"
"174",2022-06-07,13,"Rodolfo Presidente"
"175",2022-06-08,7,"Rodolfo Presidente"
"176",2022-06-09,10,"Rodolfo Presidente"
"177",2022-06-10,8,"Rodolfo Presidente"
"178",2022-06-11,6,"Rodolfo Presidente"
"179",2022-06-12,8,"Rodolfo Presidente"
"180",2022-06-13,4,"Rodolfo Presidente"
"181",2022-06-14,7,"Rodolfo Presidente"
"182",2022-06-15,0,"Rodolfo Presidente"
