"","date","hits","keyword"
"1",2022-03-12,13,"Petro Propuestas"
"2",2022-03-13,39,"Petro Propuestas"
"3",2022-03-14,36,"Petro Propuestas"
"4",2022-03-15,16,"Petro Propuestas"
"5",2022-03-16,11,"Petro Propuestas"
"6",2022-03-17,9,"Petro Propuestas"
"7",2022-03-18,6,"Petro Propuestas"
"8",2022-03-19,5,"Petro Propuestas"
"9",2022-03-20,5,"Petro Propuestas"
"10",2022-03-21,5,"Petro Propuestas"
"11",2022-03-22,7,"Petro Propuestas"
"12",2022-03-23,5,"Petro Propuestas"
"13",2022-03-24,5,"Petro Propuestas"
"14",2022-03-25,4,"Petro Propuestas"
"15",2022-03-26,4,"Petro Propuestas"
"16",2022-03-27,3,"Petro Propuestas"
"17",2022-03-28,3,"Petro Propuestas"
"18",2022-03-29,3,"Petro Propuestas"
"19",2022-03-30,3,"Petro Propuestas"
"20",2022-03-31,4,"Petro Propuestas"
"21",2022-04-01,3,"Petro Propuestas"
"22",2022-04-02,2,"Petro Propuestas"
"23",2022-04-03,3,"Petro Propuestas"
"24",2022-04-04,4,"Petro Propuestas"
"25",2022-04-05,4,"Petro Propuestas"
"26",2022-04-06,3,"Petro Propuestas"
"27",2022-04-07,4,"Petro Propuestas"
"28",2022-04-08,5,"Petro Propuestas"
"29",2022-04-09,3,"Petro Propuestas"
"30",2022-04-10,2,"Petro Propuestas"
"31",2022-04-11,2,"Petro Propuestas"
"32",2022-04-12,3,"Petro Propuestas"
"33",2022-04-13,3,"Petro Propuestas"
"34",2022-04-14,2,"Petro Propuestas"
"35",2022-04-15,2,"Petro Propuestas"
"36",2022-04-16,1,"Petro Propuestas"
"37",2022-04-17,2,"Petro Propuestas"
"38",2022-04-18,3,"Petro Propuestas"
"39",2022-04-19,3,"Petro Propuestas"
"40",2022-04-20,3,"Petro Propuestas"
"41",2022-04-21,2,"Petro Propuestas"
"42",2022-04-22,3,"Petro Propuestas"
"43",2022-04-23,2,"Petro Propuestas"
"44",2022-04-24,3,"Petro Propuestas"
"45",2022-04-25,2,"Petro Propuestas"
"46",2022-04-26,3,"Petro Propuestas"
"47",2022-04-27,3,"Petro Propuestas"
"48",2022-04-28,3,"Petro Propuestas"
"49",2022-04-29,2,"Petro Propuestas"
"50",2022-04-30,2,"Petro Propuestas"
"51",2022-05-01,2,"Petro Propuestas"
"52",2022-05-02,3,"Petro Propuestas"
"53",2022-05-03,3,"Petro Propuestas"
"54",2022-05-04,3,"Petro Propuestas"
"55",2022-05-05,4,"Petro Propuestas"
"56",2022-05-06,3,"Petro Propuestas"
"57",2022-05-07,2,"Petro Propuestas"
"58",2022-05-08,4,"Petro Propuestas"
"59",2022-05-09,4,"Petro Propuestas"
"60",2022-05-10,3,"Petro Propuestas"
"61",2022-05-11,5,"Petro Propuestas"
"62",2022-05-12,4,"Petro Propuestas"
"63",2022-05-13,3,"Petro Propuestas"
"64",2022-05-14,2,"Petro Propuestas"
"65",2022-05-15,5,"Petro Propuestas"
"66",2022-05-16,4,"Petro Propuestas"
"67",2022-05-17,9,"Petro Propuestas"
